sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angle;
1651507990;675339;1651507990;675352;1651507990;675339;-0.05123999;
1651507990;958367;1651507990;958381;1651507990;958367;-0.1009346;
1651507991;177773;1651507991;177787;1651507991;177773;0.03411732;
1651507991;436862;1651507991;436874;1651507991;436862;-0.1895783;
1651507991;659659;1651507991;659672;1651507991;659659;0.05906363;
1651507991;865415;1651507991;865428;1651507991;865415;0.197858;
1651507992;106980;1651507992;106994;1651507992;106980;-0.2234905;
1651507992;540016;1651507992;540032;1651507992;540016;-0.119454;
1651507992;739431;1651507992;739446;1651507992;739431;-0.1163729;
1651507992;973018;1651507992;973030;1651507992;973018;-0.1266344;
