sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1585056087;471235;1651507979;215851;1585056087;471235;-0;
1585056087;572020;1651507979;464114;1585056087;572020;-0;
1585056087;672886;1651507979;692516;1585056087;672886;-0;
1585056087;773530;1651507979;934296;1585056087;773530;-0;
1585056087;874061;1651507980;150312;1585056087;874061;-0;
1585056087;974608;1651507980;379752;1585056087;974608;-0;
1585056088;75258;1651507980;580513;1585056088;75258;-0;
1585056088;175800;1651507980;823676;1585056088;175800;-0;
1585056088;276449;1651507981;80886;1585056088;276449;-0;
1585056088;377197;1651507981;344841;1585056088;377197;-0;
1585056088;477894;1651507981;563439;1585056088;477894;-0;
1585056088;578806;1651507981;810586;1585056088;578806;-0;
1585056088;679567;1651507982;13887;1585056088;679567;0.003000584;
1585056088;780332;1651507982;258524;1585056088;780332;0.06298564;
1585056088;880987;1651507982;449917;1585056088;880987;0.09597431;
1585056088;981541;1651507982;676828;1585056088;981541;0.1109684;
1585056089;82182;1651507982;873634;1585056089;82182;0.1139601;
1585056089;182854;1651507983;93104;1585056089;182854;0.1139601;
1585056089;283473;1651507983;323676;1585056089;283473;0.1139601;
1585056089;384076;1651507983;522141;1585056089;384076;0.1199612;
1585056089;484710;1651507983;712077;1585056089;484710;0.2069338;
1585056089;585323;1651507983;913722;1585056089;585323;0.2489153;
1585056089;686101;1651507984;118400;1585056089;686101;0.2429142;
1585056089;786782;1651507984;327687;1585056089;786782;0.1799374;
